ID	LipidIon	log_t.test_p.value_BHcorrect	logFC	VIP	VIP_num	Regulate
5.98_768.554097427711	PC(35:4)(rep)(rep)	0.130773730486672	0.0155335172694582	VIP <1	0.519110755866252	Normal
6_812.545972578313	PC(15:0/20:4)	0.184527051549165	-0.0162973225362303	VIP <1	0.599288709420176	Normal
6.01_763.560701325301	phSM(d18:0/16:1)	1.80224074045854	0.381786576788168	VIP <1	0.789885753657036	Normal
6.01_885.550151037975	PI(16:0/22:4)	0.141093773088327	-0.0913267031287069	VIP <1	0.550308597369122	Normal
6.02_714.506831644578	PE(34:3)	0.49288674487179	0.304747436806941	VIP >=1	1.02207321441569	Normal
6.03_712.492284048193	PE(16:1/18:2)	0.508849343703086	0.285976081125906	VIP <1	0.933990497126869	Normal
6.03_890.575346837349	PI(17:0/20:4)(rep)	0.226428936813953	0.169707747543102	VIP <1	0.514756290424579	Normal
6.05_832.585361493976	PC(40:7)(rep)	0.286583188910903	-0.0301087114724324	VIP <1	0.599173553772676	Normal
6.05_909.551514861446	PI(18:0/22:6)	0.696081609084061	0.163753402453319	VIP <1	0.365499151795869	Normal
6.06_764.52252586747	PC(17:4/18:2)	0.387103200184112	0.147012482258544	VIP <1	0.838422330382331	Normal
6.06_764.522640786585	PE(18:2/20:4)(rep)	0.395968541822592	0.143983746429372	VIP <1	0.855696545824425	Normal
6.07_762.508517216867	PE(18:2/20:4)	0.530685697494662	0.180320683842494	VIP <1	0.744862853475166	Normal
6.07_876.577214963855	PC(20:3/20:4)	1.04725563045365	-0.130048997802806	VIP <1	0.740806651429216	Normal
6.08_728.558871891566	PC(33:2p)	7.78788483499297	-1.55394919300776	VIP >=1	2.33692915331102	Down
6.08_779.606172487952	SM(d40:5)	0.00682782430719508	0.0879599303363933	VIP <1	0.49521442185443	Normal
6.08_816.590341036145	PC(40:7p)	0.704677250385419	-0.175013340261681	VIP <1	0.578558614460118	Normal
6.1_740.559009584337	PC(34:3p)	9.05725451974148	-1.89528466655109	VIP >=1	2.86932417924847	Down
6.11_773.533816295181	PG(18:1/18:1)	0.0932890277884114	0.108887339942427	VIP <1	0.406010030285026	Normal
6.12_704.522779145454	PC(30:1)(rep)	0.412470648455693	0.846961091345309	VIP <1	0.538161836050486	Normal
6.13_738.506836271084	PC(33:5)	0.197321489677265	0.362318707017544	VIP <1	0.899920824513193	Normal
6.13_738.506967277108	PE(16:0/20:5)(rep)	0.287614704875545	0.375979767651617	VIP <1	0.88905391389621	Normal
6.13_784.549807584337	PC(14:0e/20:4)	10.5131264315924	-1.85146437449071	VIP >=1	2.98825926931511	Down
6.14_736.492549271084	PE(16:0/20:5)	0.162182371816616	0.27827854877612	VIP <1	0.841392714988921	Normal
6.14_858.600738067485	PC(42:8)	0.0659768111611429	0.174835124345055	VIP <1	0.337887472409856	Normal
6.16_794.569522848485	PC(37:5)	1.34719723207756	-0.320590920878658	VIP <1	0.848323313859332	Normal
6.16_838.560568945783	PC(17:1/20:4)	0.0161480341608584	0.0371343526660167	VIP <1	0.489149390752801	Normal
